article,description,html,ierarch,is_available,name,price,region,time,valute
963C143H4178_C900,Ce pantalon en serge de laine noire est revisité dans une version élégante grâce à son insert de satin à la ceinture.,https://www.dior.com/fr_fr/products/couture-963C143H4178_C900-pantalon-en-laine-insert-de-satin,/homme/pret-a-porter/nouveautes>,,"Pantalon en laine, Insert de satin","750,00€",fr_fr,4.356427431106567,€
S0105OSNI_M37E_TU,Pochette Wallet on Chain Lady Dior en veau écru sérigraphié du motif Toile de Jouy bleu.,https://www.dior.com/fr_fr/products/couture-S0105OSNI_M37E_TU-pochette-lady-dior-toile-de-jouy,/femme/sacs/nouveautes>,,Pochette Lady Dior Toile de Jouy,"1150,00€",fr_fr,5.068312168121338,€
963C119E4408_C540,Ce pantalon de jogging zippé au bas est revisité dans une version en drap de laine bleu marine pour un look décontracté.,https://www.dior.com/fr_fr/products/couture-963C119E4408_C540-jogging-en-laine,/homme/pret-a-porter/nouveautes>,,Jogging en laine,"900,00€",fr_fr,5.16362738609314,€
963C102E4395_C630,"Ce pantalon droit à revers est revisité dans une version mode en serge de laine verte. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C102E4395_C630-pantalon-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes>,,"Pantalon en laine, Ruban ""Christian Dior Atelier""","750,00€",fr_fr,5.653912544250488,€
863C154E4211_C900,"Het Christian Dior Atelier-lint, een eerbetoon aan het vakmanschap van de Dior-ateliers aan 3 Rue de Marignan in Parijs, is aangebracht aan beide zijden van deze zwarte joggingbroek van ottomanwol voor een trendy en tegelijk casual look.",https://www.dior.com/nl_be/products/couture-863C154E4211_C900-wollen-joggingbroek-christian-dior-atelier-lint,/heren/ready-to-wear/nieuw>,,"Wollen joggingbroek, Christian Dior Atelier-lint","€850,00",nl_be,5.947457313537598,€
763C190A4339_C530,"Indispensable du vestiaire masculin, ce pantalon droit en toile de laine bleue assure un look formel et élégant.",https://www.dior.com/fr_fr/products/couture-763C190A4339_C530-pantalon-en-laine-coupe-droite,/homme/pret-a-porter/nouveautes>,,"Pantalon en laine, Coupe droite","600,00€",fr_fr,6.046163320541382,€
963C102E4395_C630,Deze rechte pantalon met omslag is uitgevoerd in trendy groene wollen twill. Het Christian Dior Atelier-lint aan de binnenkant van de tailleband draagt het onmiskenbare stempel van Dior.,https://www.dior.com/nl_be/products/couture-963C102E4395_C630-wollen-pantalon-christian-dior-atelier-lint,/heren/ready-to-wear/nieuw>,,"Wollen pantalon, Christian Dior Atelier-lint","€750,00",nl_be,6.850696325302124,€
733C138W1363_C980,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" en contraste blanc est placée sur le devant de ce pantalon de jogging en serge de laine vierge noire pour une allure mode et décontractée.",https://www.dior.com/fr_fr/products/couture-733C138W1363_C980-jogging-en-laine-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes>,,"Jogging en laine, Broderie ""Dior by Dior""","900,00€",fr_fr,7.421870470046997,€
lady,,https://www.dior.com/fr_fr/femme/sacs/my-lady-dior/collection/my-lady-dior/sac-my-lady-dior-en-agneau-1-84610,/femme/sacs/nouveautes>,,Sac My Lady Dior en agneau,"2950,00€",fr_fr,8.917946338653564,€
963DS33T187X_C540,"Ce jean regular en denim stretch de coton bleu se distingue par sa plaque ""Christian Dior Atelier"" en métal à la poche ticket et assure ainsi un style moderne et intemporel. Le jacqueron de cuir noir embossé ""Dior"" au dos signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963DS33T187X_C540-jean-en-coton-stretch-plaque-metal-christian-dior-atelier,/homme/pret-a-porter/nouveautes>,,"Jean en coton stretch, Plaque métal ""Christian Dior Atelier""","590,00€",fr_fr,8.63770318031311,€
963C100E4339_C530,Ce pantalon en toile de laine bleue est réinterprété dans une version jogging grâce à sa ceinture élastique et à son cordon. Il assure ainsi un look contemporain et décontracté.,https://www.dior.com/fr_fr/products/couture-963C100E4339_C530-pantalon-en-laine-ceinture-elastique,/homme/pret-a-porter/nouveautes>,,"Pantalon en laine, Ceinture élastique","650,00€",fr_fr,8.672455787658691,€
763C190A4388_C989,"De bij, een kenmerk van Dior, is nu terug te zien in een all-over jacquardweefsel op deze pantalon van zwarte wolmix en garandeert een trendy en chique look.",https://www.dior.com/nl_be/products/couture-763C190A4388_C989-pantalon-van-wolmix-jacquardweefsel-met-bijmotief,/heren/ready-to-wear/nieuw>,,"Pantalon van wolmix, jacquardweefsel met bijmotief","€700,00",nl_be,8.871908187866211,€
963C100E4339_C530,Deze pantalon van zachte blauwe wollen stof is uitgevoerd als joggingbroek met een elastische tailleband en trekkoord. Voor een moderne en casual look.,https://www.dior.com/nl_be/products/couture-963C100E4339_C530-wollen-pantalon-elastische-tailleband,/heren/ready-to-wear/nieuw>,,"Wollen pantalon, elastische tailleband","€650,00",nl_be,9.422653436660767,€
963C110E4404_C540,Deze donkerblauwe pantalon van stretchkatoen en satijn komt in een trendy versie met cargozakken. Het Christian Dior Atelier-lint aan de binnenkant van de tailleband draagt het onmiskenbare stempel van Dior.,https://www.dior.com/nl_be/products/couture-963C110E4404_C540-stretchkatoenen-pantalon-cargozakken,/heren/ready-to-wear/nieuw>,,"Stretchkatoenen pantalon, cargozakken","€900,00",nl_be,9.50565218925476,€
733C138W1363_C980,Het contrasterende witte Dior by Dior-borduursel is een hoofdthema uit de Spring 2019-collectie en is op de voorkant van deze joggingbroek van zwarte scheerwollen twill aangebracht voor een trendy en casual look.,https://www.dior.com/nl_be/products/couture-733C138W1363_C980-wollen-joggingbroek-dior-by-dior-borduursel,/heren/ready-to-wear/nieuw>,,"Wollen joggingbroek, Dior by Dior-borduursel","€900,00",nl_be,10.305448770523071,€
