category,description,html,ierarch,is_available,name,price,region
,"Ce pull zippé en jersey de cachemire noir se distingue par son élégant col montant. Nouvel indispensable du vestiaire masculin, cette pièce assure un style élégant et décontracté.",https://www.dior.com/fr_fr/products/couture-963M233ZT578_C980-pull-en-cachemire-col-montant,/homme/pret-a-porter/nouveautes,,"Pull en cachemire, Col montant","1050,00eur",fr_fr
,"Véritable hommage au savoir-faire des ateliers Dior du 3 rue de Marignan à Paris, le ruban ""Christian Dior Atelier"" est appliqué sur les côtés de ce pantalon de jogging en ottoman de laine noire, pour une allure à la fois mode et décontractée.",https://www.dior.com/fr_fr/products/couture-863C154E4211_C900-jogging-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Jogging en laine, Ruban ""Christian Dior Atelier""","850,00eur",fr_fr
,"Indispensable du vestiaire masculin, ce pantalon droit en toile de laine bleue assure un look formel et élégant.",https://www.dior.com/fr_fr/products/couture-763C190A4339_C530-pantalon-en-laine-coupe-droite,/homme/pret-a-porter/nouveautes,,"Pantalon en laine, Coupe droite","600,00eur",fr_fr
,"Ce pantalon en toile stretch de coton satiné bleu marine est revisité dans une version mode avec ses poches cargo. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C110E4404_C540-pantalon-en-coton-stretch-poches-cargo,/homme/pret-a-porter/nouveautes,,"Pantalon en coton stretch, Poches cargo","900,00eur",fr_fr
,"Ce pantalon droit à revers est revisité dans une version mode en velours côtelé stretch de coton bleu marine. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C102E4104_C541-pantalon-en-coton-stretch-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Pantalon en coton stretch, Ruban ""Christian Dior Atelier""","600,00eur",fr_fr
,Ce pantalon en serge de laine noire est revisité dans une version élégante grâce à son insert de satin à la ceinture.,https://www.dior.com/fr_fr/products/couture-963C143H4178_C900-pantalon-en-laine-insert-de-satin,/homme/pret-a-porter/nouveautes,,"Pantalon en laine, Insert de satin","750,00eur",fr_fr
,"Ce pantalon droit à revers est revisité dans une version mode en serge de laine verte. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C102E4395_C630-pantalon-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Pantalon en laine, Ruban ""Christian Dior Atelier""","750,00eur",fr_fr
,"Signature de la Maison, ""l'Abeille"" est revisitée en jacquard all-over sur ce pantalon en laine mélangée noire et assure ainsi un look mode et élégant.",https://www.dior.com/fr_fr/products/couture-763C190A4388_C989-pantalon-en-laine-melangee-jacquard-abeille,/homme/pret-a-porter/nouveautes,,"Pantalon en laine mélangée, Jacquard ""Abeille""","700,00eur",fr_fr
,Ce pantalon en toile de laine bleue est réinterprété dans une version jogging grâce à sa ceinture élastique et à son cordon. Il assure ainsi un look contemporain et décontracté.,https://www.dior.com/fr_fr/products/couture-963C100E4339_C530-pantalon-en-laine-ceinture-elastique,/homme/pret-a-porter/nouveautes,,"Pantalon en laine, Ceinture élastique","650,00eur",fr_fr
,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" en contraste blanc est placée sur le devant de ce pantalon de jogging en serge de laine vierge noire pour une allure mode et décontractée.",https://www.dior.com/fr_fr/products/couture-733C138W1363_C980-jogging-en-laine-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes,,"Jogging en laine, Broderie ""Dior by Dior""","900,00eur",fr_fr
,"Ce polo en piqué de coton se distingue par son coloris saisonnier violet pour une allure mode. La broderie ""Abeille"" noire signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963J814B0454_C459-polo-en-coton-broderie-abeille,/homme/pret-a-porter/nouveautes,,"Polo en coton, Broderie ""Abeille""","350,00eur",fr_fr
